"term","frequency","density","occurrence"
"drove",4,5.51876379690949e-05,0.006
"ekho",1,1.37969094922737e-05,0.002
"escort",1,1.37969094922737e-05,0.002
"explosion",4,5.51876379690949e-05,0.008
"explosives",2,2.75938189845475e-05,0.002
"federal",16,0.00022075055187638,0.02
"forces",14,0.000193156732891832,0.018
"front",11,0.000151766004415011,0.022
"got",80,0.0011037527593819,0.128
"government",44,0.000607064017660044,0.046
"half",41,0.000565673289183223,0.068
"headquarters",5,6.89845474613687e-05,0.004
"held",6,8.27814569536424e-05,0.012
"hotel",7,9.65783664459161e-05,0.012
"hours",18,0.000248344370860927,0.036
"immediately",17,0.000234547461368653,0.026
"interfax",2,2.75938189845475e-05,0.002
"itar",2,2.75938189845475e-05,0.002
"kremlin",1,1.37969094922737e-05,0.002
"later",23,0.000317328918322296,0.04
"location",9,0.000124172185430464,0.016
"man",74,0.00102097130242826,0.094
"moscow",6,8.27814569536424e-05,0.004
"moskvy",1,1.37969094922737e-05,0.002
"move",24,0.00033112582781457,0.046
"near",14,0.000193156732891832,0.028
"negotiations",2,2.75938189845475e-05,0.002
"news",101,0.00139348785871965,0.114
"ntv",2,2.75938189845475e-05,0.002
"officers",7,9.65783664459161e-05,0.008
"officials",15,0.000206953642384106,0.028
"olympic",1,1.37969094922737e-05,0.002
"outside",13,0.000179359823399558,0.022
"penta",1,1.37969094922737e-05,0.002
"police",18,0.000248344370860927,0.022
"president",29,0.000400110375275938,0.032
"press",26,0.000358719646799117,0.04
"putin",1,1.37969094922737e-05,0.002
"radio",10,0.000137969094922737,0.014
"red",48,0.000662251655629139,0.054
"reported",15,0.000206953642384106,0.016
"rifle",1,1.37969094922737e-05,0.002
"rushed",1,1.37969094922737e-05,0.002
"russia",6,8.27814569536424e-05,0.006
"russian",10,0.000137969094922737,0.004
"said",247,0.00340783664459161,0.162
"secure",6,8.27814569536424e-05,0.012
"security",42,0.000579470198675497,0.026
"seized",4,5.51876379690949e-05,0.006
"service",44,0.000607064017660044,0.064
"services",30,0.000413907284768212,0.038
"square",4,5.51876379690949e-05,0.008
"street",21,0.000289735099337748,0.034
"surrounded",1,1.37969094922737e-05,0.002
"taken",22,0.000303532008830022,0.04
"talk",39,0.000538079470198675,0.042
"talks",5,6.89845474613687e-05,0.008
"tass",2,2.75938189845475e-05,0.002
"television",8,0.00011037527593819,0.014
"threatened",1,1.37969094922737e-05,0.002
"threatens",3,4.13907284768212e-05,0.004
"thursday",20,0.000275938189845475,0.038
"tons",3,4.13907284768212e-05,0.006
"truck",7,9.65783664459161e-05,0.006
"unidentified",1,1.37969094922737e-05,0.002
"vladimir",2,2.75938189845475e-05,0.004
"wanted",30,0.000413907284768212,0.048
"within",24,0.00033112582781457,0.038
"witnesses",1,1.37969094922737e-05,0.002
"across",22,0.000303532008830022,0.044
"aid",21,0.000289735099337748,0.02
"already",47,0.000648454746136865,0.078
"andrew",5,6.89845474613687e-05,0.01
"antivirus",1,1.37969094922737e-05,0.002
"approaches",1,1.37969094922737e-05,0.002
"approaching",1,1.37969094922737e-05,0.002
"aren",18,0.000248344370860927,0.036
"article",80,0.0011037527593819,0.06
"asp",12,0.000165562913907285,0.02
"brandt",1,1.37969094922737e-05,0.002
"british",34,0.000469094922737307,0.028
"carry",6,8.27814569536424e-05,0.012
"combination",3,4.13907284768212e-05,0.006
"continues",5,6.89845474613687e-05,0.008
"corrupt",5,6.89845474613687e-05,0.01
"daily",11,0.000151766004415011,0.018
"data",32,0.000441501103752759,0.048
"die",4,5.51876379690949e-05,0.008
"estimates",2,2.75938189845475e-05,0.004
"ever",45,0.000620860927152318,0.076
"experts",8,0.00011037527593819,0.016
"firm",13,0.000179359823399558,0.01
"harbinger",1,1.37969094922737e-05,0.002
"havoc",2,2.75938189845475e-05,0.004
"holds",4,5.51876379690949e-05,0.008
"infections",1,1.37969094922737e-05,0.002
"irregulars",3,4.13907284768212e-05,0.002
"klez",8,0.00011037527593819,0.004
"last",93,0.00128311258278146,0.12
"letup",1,1.37969094922737e-05,0.002
"magazine",1,1.37969094922737e-05,0.002
"mail",82,0.00113134657836645,0.068
"makers",9,0.000124172185430464,0.014
"making",28,0.000386313465783664,0.052
"may",93,0.00128311258278146,0.12
"mcafee",1,1.37969094922737e-05,0.002
"merely",7,9.65783664459161e-05,0.014
"messagelabs",1,1.37969094922737e-05,0.002
"messages",40,0.000551876379690949,0.044
"month",23,0.000317328918322296,0.04
"new",164,0.00226269315673289,0.206
"newer",4,5.51876379690949e-05,0.008
"nuisances",1,1.37969094922737e-05,0.002
"pcworld",2,2.75938189845475e-05,0.004
"pernicious",2,2.75938189845475e-05,0.004
"persistent",2,2.75938189845475e-05,0.004
"prolific",2,2.75938189845475e-05,0.002
"report",27,0.000372516556291391,0.026
"says",49,0.000676048565121413,0.048
"september",51,0.00070364238410596,0.078
"seventh",1,1.37969094922737e-05,0.002
"sign",12,0.000165562913907285,0.022
"sircam",1,1.37969094922737e-05,0.002
"software",82,0.00113134657836645,0.092
"summer",11,0.000151766004415011,0.018
"surpassed",1,1.37969094922737e-05,0.002
"symantec",2,2.75938189845475e-05,0.004
"variants",1,1.37969094922737e-05,0.002
"variation",2,2.75938189845475e-05,0.004
"virus",5,6.89845474613687e-05,0.004
"viruses",7,9.65783664459161e-05,0.01
"warn",1,1.37969094922737e-05,0.002
"web",60,0.000827814569536424,0.07
"won",31,0.000427704194260486,0.054
"world",118,0.0016280353200883,0.158
"worm",1,1.37969094922737e-05,0.002
"wreak",1,1.37969094922737e-05,0.002
"wriggling",1,1.37969094922737e-05,0.002
"www",500,0.00689845474613687,0.552
"adding",6,8.27814569536424e-05,0.012
"ask",18,0.000248344370860927,0.034
"authentic",1,1.37969094922737e-05,0.002
"carbonara",4,5.51876379690949e-05,0.004
"centre",7,9.65783664459161e-05,0.014
"cream",8,0.00011037527593819,0.012
"creme",2,2.75938189845475e-05,0.002
"deep",9,0.000124172185430464,0.016
"edinburgh",7,9.65783664459161e-05,0.014
"effect",10,0.000137969094922737,0.014
"eggs",2,2.75938189845475e-05,0.004
"except",24,0.00033112582781457,0.046
"fat",7,9.65783664459161e-05,0.012
"favourites",2,2.75938189845475e-05,0.004
"fraiche",2,2.75938189845475e-05,0.002
"fresh",3,4.13907284768212e-05,0.006
"hasn",18,0.000248344370860927,0.028
"hell",19,0.000262141280353201,0.036
"identical",9,0.000124172185430464,0.018
"instead",54,0.000745033112582782,0.098
"jump",10,0.000137969094922737,0.02
"just",254,0.00350441501103753,0.316
"lots",14,0.000193156732891832,0.024
"low",20,0.000275938189845475,0.03
"make",125,0.00172461368653422,0.152
"microelectronics",5,6.89845474613687e-05,0.01
"mine",7,9.65783664459161e-05,0.014
"never",62,0.000855408388520971,0.096
"nicely",2,2.75938189845475e-05,0.004
"parmesan",1,1.37969094922737e-05,0.002
"pasta",5,6.89845474613687e-05,0.006
"personally",11,0.000151766004415011,0.022
"pie",1,1.37969094922737e-05,0.002
"pizza",1,1.37969094922737e-05,0.002
"quite",35,0.000482891832229581,0.062
"recipe",5,6.89845474613687e-05,0.008
"scottish",6,8.27814569536424e-05,0.012
"seen",31,0.000427704194260486,0.058
"smith",6,8.27814569536424e-05,0.012
"spaghetti",2,2.75938189845475e-05,0.004
"stew",6,8.27814569536424e-05,0.012
"stewart",6,8.27814569536424e-05,0.01
"supposed",17,0.000234547461368653,0.034
"supposedly",4,5.51876379690949e-05,0.006
"sxs",5,6.89845474613687e-05,0.01
"university",32,0.000441501103752759,0.036
"used",76,0.0010485651214128,0.116
"bacon",2,2.75938189845475e-05,0.004
"basically",13,0.000179359823399558,0.024
"beaten",5,6.89845474613687e-05,0.008
"cooked",2,2.75938189845475e-05,0.004
"cooks",7,9.65783664459161e-05,0.014
"egg",6,8.27814569536424e-05,0.004
"heat",2,2.75938189845475e-05,0.004
"isn",57,0.000786423841059603,0.096
"mix",4,5.51876379690949e-05,0.008
"mixture",2,2.75938189845475e-05,0.004
"pancetta",2,2.75938189845475e-05,0.004
"raw",7,9.65783664459161e-05,0.014
"really",94,0.00129690949227373,0.158
"understanding",6,8.27814569536424e-05,0.012
"ageing",1,1.37969094922737e-05,0.002
"arms",2,2.75938189845475e-05,0.004
"attack",11,0.000151766004415011,0.012
"attractive",7,9.65783664459161e-05,0.01
"bang",3,4.13907284768212e-05,0.004
"beautiful",5,6.89845474613687e-05,0.008
"bed",11,0.000151766004415011,0.022
"berlin",7,9.65783664459161e-05,0.01
"better",68,0.000938189845474614,0.106
"bild",1,1.37969094922737e-05,0.002
"come",75,0.00103476821192053,0.12
"countless",3,4.13907284768212e-05,0.006
"disco",1,1.37969094922737e-05,0.002
"eden",2,2.75938189845475e-05,0.002
"end",69,0.000951986754966887,0.104
"famous",9,0.000124172185430464,0.012
"final",4,5.51876379690949e-05,0.008
"first",100,0.00137969094922737,0.142
"fun",13,0.000179359823399558,0.022
"gets",32,0.000441501103752759,0.052
"heart",8,0.00011037527593819,0.014
"imagine",9,0.000124172185430464,0.018
"inheritance",1,1.37969094922737e-05,0.002
"life",37,0.000510485651214128,0.046
"lot",35,0.000482891832229581,0.064
"lure",2,2.75938189845475e-05,0.004
"moment",7,9.65783664459161e-05,0.014
"money",52,0.000717439293598234,0.064
"newspaper",8,0.00011037527593819,0.014
"offer",26,0.000358719646799117,0.03
"orgasm",2,2.75938189845475e-05,0.004
"owner",4,5.51876379690949e-05,0.008
"partners",22,0.000303532008830022,0.018
"pass",10,0.000137969094922737,0.01
"playboy",2,2.75938189845475e-05,0.002
"preferably",2,2.75938189845475e-05,0.004
"promising",2,2.75938189845475e-05,0.004
"put",69,0.000951986754966887,0.106
"rolf",1,1.37969094922737e-05,0.002
"scotsman",2,2.75938189845475e-05,0.004
"sex",27,0.000372516556291391,0.03
"sleeps",2,2.75938189845475e-05,0.002
"testament",1,1.37969094922737e-05,0.002
"told",32,0.000441501103752759,0.048
"unusual",7,9.65783664459161e-05,0.014
"want",125,0.00172461368653422,0.178
"wants",32,0.000441501103752759,0.042
"way",164,0.00226269315673289,0.216
"wild",5,6.89845474613687e-05,0.008
"will",293,0.0040424944812362,0.236
"woman",34,0.000469094922737307,0.038
"women",85,0.00117273730684327,0.048
"young",13,0.000179359823399558,0.022
"adamson",3,4.13907284768212e-05,0.006
"added",19,0.000262141280353201,0.03
"apologies",5,6.89845474613687e-05,0.01
"congressman",1,1.37969094922737e-05,0.002
"found",78,0.00107615894039735,0.112
"gov",6,8.27814569536424e-05,0.01
"guess",16,0.00022075055187638,0.032
"htm",34,0.000469094922737307,0.038
"internet",69,0.000951986754966887,0.076
"looking",49,0.000676048565121413,0.068
"maine",3,4.13907284768212e-05,0.004
"megvjb",1,1.37969094922737e-05,0.002
"non",53,0.000731236203090508,0.086
"ons",1,1.37969094922737e-05,0.002
"people",223,0.00307671081677704,0.188
"pic",2,2.75938189845475e-05,0.004
"possibly",4,5.51876379690949e-05,0.008
"probably",52,0.000717439293598234,0.09
"residents",4,5.51876379690949e-05,0.008
"right",98,0.00135209713024283,0.142
"scariest",1,1.37969094922737e-05,0.002
"smiles",6,8.27814569536424e-05,0.012
"try",55,0.000758830022075055,0.098
"virtualcities",1,1.37969094922737e-05,0.002
"voted",1,1.37969094922737e-05,0.002
"worst",7,9.65783664459161e-05,0.014
"wrote",238,0.00328366445916115,0.38
"bronson",1,1.37969094922737e-05,0.002
"charles",3,4.13907284768212e-05,0.006
"dangerous",7,9.65783664459161e-05,0.012
"described",9,0.000124172185430464,0.016
"history",10,0.000137969094922737,0.018
"inmates",1,1.37969094922737e-05,0.002
"judge",5,6.89845474613687e-05,0.01
"lawson",1,1.37969094922737e-05,0.002
"look",56,0.000772626931567329,0.094
"meaningful",6,8.27814569536424e-05,0.012
"prison",11,0.000151766004415011,0.01
"sentences",2,2.75938189845475e-05,0.004
"thu",42,0.000579470198675497,0.074
"tracey",1,1.37969094922737e-05,0.002
"access",20,0.000275938189845475,0.032
"amavis",1,1.37969094922737e-05,0.002
"appreciate",5,6.89845474613687e-05,0.01
"based",42,0.000579470198675497,0.07
"canned",1,1.37969094922737e-05,0.002
"cell",12,0.000165562913907285,0.024
"cgi",11,0.000151766004415011,0.02
"clamav",1,1.37969094922737e-05,0.002
"clients",18,0.000248344370860927,0.02
"configuration",4,5.51876379690949e-05,0.006
"engines",7,9.65783664459161e-05,0.01
"exists",6,8.27814569536424e-05,0.012
"feature",18,0.000248344370860927,0.026
"filtering",3,4.13907284768212e-05,0.004
"find",96,0.00132450331125828,0.132
"giving",12,0.000165562913907285,0.022
"inphonic",4,5.51876379690949e-05,0.008
"interface",20,0.000275938189845475,0.028
"isps",3,4.13907284768212e-05,0.006
"lists",74,0.00102097130242826,0.1
"mirrors",2,2.75938189845475e-05,0.004
"net",251,0.00346302428256071,0.218
"nothing",49,0.000676048565121413,0.082
"numerous",2,2.75938189845475e-05,0.004
"old",63,0.000869205298013245,0.102
"options",6,8.27814569536424e-05,0.01
"osdn",4,5.51876379690949e-05,0.008
"phone",42,0.000579470198675497,0.042
"postfix",2,2.75938189845475e-05,0.004
"prefer",11,0.000151766004415011,0.022
"prefs",2,2.75938189845475e-05,0.004
"procmail",2,2.75938189845475e-05,0.004
"provide",20,0.000275938189845475,0.04
"refcode",4,5.51876379690949e-05,0.008
"research",30,0.000413907284768212,0.036
"script",7,9.65783664459161e-05,0.012
"sourceforge",26,0.000358719646799117,0.028
"spam",42,0.000579470198675497,0.032
"spamassassin",57,0.000786423841059603,0.072
"sponsored",13,0.000179359823399558,0.026
"suggestions",8,0.00011037527593819,0.016
"tired",5,6.89845474613687e-05,0.01
"trying",44,0.000607064017660044,0.072
"user",23,0.000317328918322296,0.03
"uses",19,0.000262141280353201,0.034
"via",34,0.000469094922737307,0.038
"write",20,0.000275938189845475,0.034
"accomplish",1,1.37969094922737e-05,0.002
"alva",1,1.37969094922737e-05,0.002
"approach",11,0.000151766004415011,0.02
"devel",43,0.00059326710816777,0.016
"discussed",4,5.51876379690949e-05,0.006
"edison",1,1.37969094922737e-05,0.002
"hello",14,0.000193156732891832,0.026
"html",173,0.00238686534216336,0.15
"paulgraham",1,1.37969094922737e-05,0.002
"rules",14,0.000193156732891832,0.024
"something",98,0.00135209713024283,0.15
"thank",10,0.000137969094922737,0.016
"thomas",2,2.75938189845475e-05,0.004
"alike",2,2.75938189845475e-05,0.004
"allow",17,0.000234547461368653,0.03
"anyone",82,0.00113134657836645,0.15
"came",30,0.000413907284768212,0.046
"changes",19,0.000262141280353201,0.028
"cron",1,1.37969094922737e-05,0.002
"default",22,0.000303532008830022,0.036
"dinter",1,1.37969094922737e-05,0.002
"don",210,0.00289735099337748,0.258
"eval",2,2.75938189845475e-05,0.002
"even",167,0.00230408388520971,0.21
"faster",12,0.000165562913907285,0.012
"great",51,0.00070364238410596,0.1
"idea",50,0.000689845474613687,0.08
"job",58,0.000800220750551876,0.09
"live",25,0.000344922737306843,0.046
"marc",1,1.37969094922737e-05,0.002
"minds",2,2.75938189845475e-05,0.004
"months",31,0.000427704194260486,0.052
"perkel",1,1.37969094922737e-05,0.002
"quickly",16,0.00022075055187638,0.028
"react",1,1.37969094922737e-05,0.002
"release",26,0.000358719646799117,0.028
"remember",19,0.000262141280353201,0.038
"require",12,0.000165562913907285,0.022
"respond",2,2.75938189845475e-05,0.004
"rule",14,0.000193156732891832,0.022
"set",68,0.000938189845474614,0.086
"spammer",1,1.37969094922737e-05,0.002
"suggested",5,6.89845474613687e-05,0.01
"theo",2,2.75938189845475e-05,0.004
"though",64,0.000883002207505519,0.102
"tricks",2,2.75938189845475e-05,0.004
"updates",13,0.000179359823399558,0.018
"useful",34,0.000469094922737307,0.048
"van",4,5.51876379690949e-05,0.008
"week",43,0.00059326710816777,0.05
"withput",1,1.37969094922737e-05,0.002
"yes",43,0.00059326710816777,0.082
"barf",1,1.37969094922737e-05,0.002
"boot",14,0.000193156732891832,0.02
"booting",3,4.13907284768212e-05,0.004
"box",24,0.00033112582781457,0.044
"cobalt",1,1.37969094922737e-05,0.002
"crosslinked",1,1.37969094922737e-05,0.002
"dev",18,0.000248344370860927,0.02
"didn",44,0.000607064017660044,0.084
"dump",6,8.27814569536424e-05,0.012
"duplicated",1,1.37969094922737e-05,0.002
"errors",8,0.00011037527593819,0.014
"everything",31,0.000427704194260486,0.056
"exist",14,0.000193156732891832,0.02
"failing",5,6.89845474613687e-05,0.01
"files",55,0.000758830022075055,0.056
"filesystems",2,2.75938189845475e-05,0.004
"fine",22,0.000303532008830022,0.044
"friend",12,0.000165562913907285,0.02
"glibc",6,8.27814569536424e-05,0.008
"hard",24,0.00033112582781457,0.044
"hda",5,6.89845474613687e-05,0.004
"ilug",242,0.00333885209713024,0.18
"information",151,0.00208333333333333,0.22
"init",3,4.13907284768212e-05,0.006
"instance",2,2.75938189845475e-05,0.004
"irish",113,0.00155905077262693,0.182
"issues",14,0.000193156732891832,0.024
"john",47,0.000648454746136865,0.08
"kate",5,6.89845474613687e-05,0.01
"kernel",36,0.000496688741721854,0.038
"likely",17,0.000234547461368653,0.026
"lilo",3,4.13907284768212e-05,0.004
"link",28,0.000386313465783664,0.032
"linked",4,5.51876379690949e-05,0.008
"linux",607,0.00837472406181015,0.244
"listmaster",104,0.00143487858719647,0.18
"looney",9,0.000124172185430464,0.018
"maintainer",104,0.00143487858719647,0.18
"mentioned",13,0.000179359823399558,0.024
"mon",25,0.000344922737306843,0.044
"noticed",9,0.000124172185430464,0.014
"passing",5,6.89845474613687e-05,0.008
"populating",1,1.37969094922737e-05,0.002
"present",4,5.51876379690949e-05,0.008
"queried",1,1.37969094922737e-05,0.002
"reason",31,0.000427704194260486,0.062
"root",45,0.000620860927152318,0.046
"rootfs",1,1.37969094922737e-05,0.002
"seems",59,0.00081401766004415,0.106
"solve",12,0.000165562913907285,0.014
"spotted",4,5.51876379690949e-05,0.006
"subscription",125,0.00172461368653422,0.188
"tar",7,9.65783664459161e-05,0.006
"tell",40,0.000551876379690949,0.074
"turns",10,0.000137969094922737,0.02
"users",141,0.0019453642384106,0.218
"wasn",19,0.000262141280353201,0.026
"woohoo",3,4.13907284768212e-05,0.006
"worked",22,0.000303532008830022,0.036
"add",27,0.000372516556291391,0.044
"afterwards",4,5.51876379690949e-05,0.008
"also",143,0.00197295805739514,0.184
"application",29,0.000400110375275938,0.042
"approximation",1,1.37969094922737e-05,0.002
"ascii",9,0.000124172185430464,0.016
"austin",5,6.89845474613687e-05,0.01
"begin",29,0.000400110375275938,0.04
"bottom",13,0.000179359823399558,0.026
"bug",13,0.000179359823399558,0.022
"chance",8,0.00011037527593819,0.016
"charset",17,0.000234547461368653,0.022
"column",12,0.000165562913907285,0.018
"columns",3,4.13907284768212e-05,0.006
"comment",15,0.000206953642384106,0.03
"congress",7,9.65783664459161e-05,0.014
"content",75,0.00103476821192053,0.048
"cosmetic",1,1.37969094922737e-05,0.002
"czvagiwe",1,1.37969094922737e-05,0.002
"detache",1,1.37969094922737e-05,0.002
"different",78,0.00107615894039735,0.114
"display",16,0.00022075055187638,0.02
"documentation",8,0.00011037527593819,0.014
"doers",11,0.000151766004415011,0.012
"done",41,0.000565673289183223,0.066
"elz",2,2.75938189845475e-05,0.004
"etc",47,0.000648454746136865,0.078
"evil",10,0.000137969094922737,0.016
"file",97,0.00133830022075055,0.09
"fits",3,4.13907284768212e-05,0.006
"fixes",9,0.000124172185430464,0.018
"folder",4,5.51876379690949e-05,0.006
"full",23,0.000317328918322296,0.04
"functionality",3,4.13907284768212e-05,0.004
"funny",12,0.000165562913907285,0.024
"gnu",15,0.000206953642384106,0.026
"gnupg",9,0.000124172185430464,0.014
"going",66,0.000910596026490066,0.098
"hopefully",5,6.89845474613687e-05,0.01
"however",50,0.000689845474613687,0.066
"iddbqezqj",1,1.37969094922737e-05,0.002
"iii",13,0.000179359823399558,0.026
"kbhriuiraipuajwlmuuswhlnqzcmsdlgpedknraccdfzh",1,1.37969094922737e-05,0.002
"leave",11,0.000151766004415011,0.022
"leaving",10,0.000137969094922737,0.02
"left",26,0.000358719646799117,0.038
"lengthen",1,1.37969094922737e-05,0.002
"less",38,0.000524282560706402,0.068
"main",20,0.000275938189845475,0.034
"much",92,0.00126931567328918,0.144
"munnari",3,4.13907284768212e-05,0.006
"nice",38,0.000524282560706402,0.056
"order",26,0.000358719646799117,0.048
"others",36,0.000496688741721854,0.06
"ouch",28,0.000386313465783664,0.026
"pack",14,0.000193156732891832,0.022
"pcggnfrlim",1,1.37969094922737e-05,0.002
