"term","frequency","density","occurrence"
"family",334,0.0014731178053191,0.164
"fast",40,0.000176421294050192,0.058
"fetchmail",465,0.00205089754333348,0.93
"financial",116,0.000511621752745556,0.112
"font",8793,0.0387818109645834,0.418
"free",704,0.00310501477528338,0.448
"get",384,0.00169364442288184,0.334
"gothic",11,4.85158558638028e-05,0.01
"head",353,0.00155691791999294,0.36
"height",1650,0.00727737837957041,0.278
"help",221,0.00097472764962731,0.234
"helvetica",642,0.00283156176950558,0.186
"href",849,0.00374454196621532,0.438
"html",1036,0.00456931151589997,0.556
"http",2716,0.011979005866008,0.802
"hundreds",47,0.000207295020508975,0.062
"important",35,0.000154368632293918,0.058
"inserted",4,1.76421294050192e-05,0.006
"insuran",1,4.4105323512548e-06,0.002
"insurance",176,0.000776253693820844,0.104
"investment",99,0.000436642702774225,0.092
"iso",338,0.00149075993472412,0.614
"ist",737,0.00325056234287478,0.91
"kes",1,4.4105323512548e-06,0.002
"korea",7,3.08737264587836e-05,0.008
"labs",202,0.000890927534953469,0.404
"left",295,0.00130110704362016,0.15
"less",55,0.000242579279319014,0.076
"let",66,0.000291095135182817,0.086
"life",206,0.000908569664358488,0.14
"lifequote",1,4.4105323512548e-06,0.002
"list",771,0.00340052044281745,0.47
"localhost",2650,0.0116879107308252,0.952
"lowest",45,0.000198473955806466,0.056
"mail",1114,0.00491333303929784,0.788
"mailto",243,0.00107175936135492,0.192
"make",248,0.00109381202311119,0.158
"message",761,0.0033564151193049,0.994
"meta",238,0.00104970669959864,0.246
"microsoft",393,0.00173333921404313,0.48
"mime",511,0.0022537820314912,0.846
"minutes",23,0.00010144224407886,0.03
"money",436,0.00192299210514709,0.226
"mshtml",23,0.00010144224407886,0.046
"naa",9,3.96947911612932e-05,0.012
"name",931,0.00410620561901822,0.344
"net",1983,0.00874608565253826,0.77
"netsgo",3,1.32315970537644e-05,0.004
"new",422,0.00186124465222952,0.338
"none",68,0.000299916199885326,0.056
"noshade",23,0.00010144224407886,0.042
"org",3013,0.0132889339743307,1
"padding",120,0.000529263882150576,0.012
"path",530,0.00233758214616504,0.988
"pay",107,0.000471926961584263,0.142
"phobos",290,0.00127905438186389,0.404
"please",438,0.0019318131698496,0.498
"pop",117,0.000516032285096811,0.232
"postfix",616,0.00271688792837295,0.952
"printable",160,0.000705685176200767,0.282
"prohibits",2,8.82106470250959e-06,0.004
"protecting",3,1.32315970537644e-05,0.006
"provide",59,0.000260221408724033,0.092
"ptsize",25,0.00011026330878137,0.008
"public",60,0.000264631941075288,0.108
"quote",52,0.000229347682265249,0.048
"quoted",160,0.000705685176200767,0.282
"rates",108,0.000476337493935518,0.078
"receipt",9,3.96947911612932e-05,0.016
"received",2459,0.0108454990517355,1
"remove",210,0.000926211793763507,0.318
"removed",161,0.000710095708552022,0.242
"requesting",16,7.05685176200767e-05,0.032
"reside",1,4.4105323512548e-06,0.002
"return",573,0.002527235037269,0.988
"right",449,0.0019803290257134,0.204
"sans",672,0.00296387774004322,0.176
"sat",282,0.00124377012305385,0.174
"save",113,0.000498390155691792,0.112
"savequote",1,4.4105323512548e-06,0.002
"saves",1,4.4105323512548e-06,0.002
"savings",21,9.26211793763507e-05,0.03
"security",71,0.000313147796939091,0.064
"serif",685,0.00302121466060954,0.176
"service",241,0.00106293829665241,0.352
"shop",33,0.000145547567591408,0.06
"simple",95,0.000419000573369206,0.106
"single",471,0.00207736073744101,0.932
"size",3125,0.0137829135976712,0.412
"smtp",683,0.00301239359590703,0.73
"smtpsvc",69,0.000304326732236581,0.138
"solicitations",1,4.4105323512548e-06,0.002
"spamassassin",1135,0.00500595421867419,0.93
"spend",6,2.64631941075288e-05,0.01
"started",46,0.000202884488157721,0.048
"state",163,0.000718916773254532,0.148
"strong",293,0.00129228597891766,0.076
"style",887,0.003912142195563,0.186
"subject",738,0.00325497287522604,0.99
"table",1468,0.00647466149164204,0.344
"taint",1210,0.0053367441450183,0.942
"take",125,0.00055131654390685,0.162
"tbody",313,0.00138049662594275,0.098
"text",1068,0.00471044855114012,0.918
"tho",1,4.4105323512548e-06,0.002
"thu",483,0.00213028712565607,0.244
"transfer",440,0.00194063423455211,0.682
"transitional",27,0.000119084373483879,0.054
"type",1248,0.00550434437436599,0.918
"types",6,2.64631941075288e-05,0.012
"ues",1,4.4105323512548e-06,0.002
"ules",1,4.4105323512548e-06,0.002
"usands",1,4.4105323512548e-06,0.002
"val",2,8.82106470250959e-06,0.004
"valign",363,0.00160102324350549,0.176
"version",561,0.00247430864905394,0.876
"web",187,0.000824769549684647,0.196
"webnote",683,0.00301239359590703,0.462
"website",81,0.000357253120451638,0.076
"wed",452,0.00199356062276717,0.23
"width",3014,0.013293344506682,0.34
"will",716,0.00315794116349843,0.406
"wish",183,0.000807127420279628,0.26
"ype",1,4.4105323512548e-06,0.002
"zzzz",2160,0.00952674987871036,0.91
"acjjf",1,4.4105323512548e-06,0.002
"adclick",64,0.000282274070480307,0.028
"admin",255,0.00112468574956997,0.13
"advice",26,0.000114673841132625,0.036
"afdf",1,4.4105323512548e-06,0.002
"album",9,3.96947911612932e-05,0.016
"authentication",32,0.000141137035240153,0.064
"beenthere",61,0.000269042473426543,0.122
"bit",259,0.00114232787897499,0.422
"bulk",145,0.000639527190931945,0.172
"cancer",18,7.93895823225863e-05,0.028
"cdo",41,0.000180831826401447,0.082
"cfm",69,0.000304326732236581,0.03
"child",20,8.82106470250959e-05,0.03
"claimed",33,0.000145547567591408,0.066
"class",388,0.00171128655228686,0.148
"classes",46,0.000202884488157721,0.088
"community",17,7.49790499713315e-05,0.024
"day",156,0.000688043046795748,0.126
"days",101,0.000445463767476734,0.12
"deserve",17,7.49790499713315e-05,0.024
"dogma",554,0.00244343492259516,0.712
"ecd",4,1.76421294050192e-05,0.006
"errors",71,0.000313147796939091,0.14
"fastest",26,0.000114673841132625,0.042
"fea",10,4.4105323512548e-05,0.02
"ffbb",1,4.4105323512548e-06,0.002
"ffbea",1,4.4105323512548e-06,0.002
"fight",10,4.4105323512548e-05,0.02
"filetime",67,0.000295505667534071,0.134
"freeyankeedom",11,4.85158558638028e-05,0.022
"fwdzamruwbmqnggxxw",1,4.4105323512548e-06,0.002
"gmcjiz",1,4.4105323512548e-06,0.002
"group",104,0.000458695364530499,0.108
"growing",36,0.000158779164645173,0.052
"guaranteed",84,0.000370484717505403,0.11
"host",98,0.00043223217042297,0.174
"ilug",538,0.00237286640497508,0.098
"imap",353,0.00155691791999294,0.706
"index",129,0.000568958673311869,0.164
"information",322,0.00142019141710404,0.35
"irish",97,0.000427821638071715,0.11
"jmason",295,0.00130110704362016,0.494
"join",32,0.000141137035240153,0.044
"lbs",34,0.000149958099942663,0.032
"leave",15,6.61579852688219e-05,0.03
"legal",164,0.000723327305605787,0.118
"link",145,0.000639527190931945,0.218
"linux",800,0.00352842588100384,0.112
"listinfo",114,0.000502800688043047,0.122
"listmaster",41,0.000180831826401447,0.082
"lose",54,0.000238168746967759,0.068
"lugh",308,0.00135844396418648,0.098
"mailer",324,0.00142901248180655,0.536
"mailman",155,0.000683632514444493,0.122
"maintainer",41,0.000180831826401447,0.082
"manager",36,0.000158779164645173,0.054
"mimeole",134,0.000591011335068143,0.134
"offer",159,0.000701274643849513,0.186
"online",129,0.000568958673311869,0.152
"originalarrivaltime",67,0.000295505667534071,0.134
"photo",17,7.49790499713315e-05,0.03
"plain",288,0.00127023331716138,0.524
"precedence",82,0.000361663652802893,0.162
"private",70,0.000308737264587836,0.108
"prizemama",20,8.82106470250959e-05,0.022
"produced",68,0.000299916199885326,0.136
"qves",49,0.000216116085211485,0.022
"qvp",11,4.85158558638028e-05,0.022
"risk",90,0.000396947911612932,0.11
"root",96,0.00042341110572046,0.094
"sender",129,0.000568958673311869,0.246
"serveimage",8,3.52842588100384e-05,0.008
"singles",11,4.85158558638028e-05,0.016
"slashnull",554,0.00244343492259516,0.712
"slim",32,0.000141137035240153,0.024
"start",79,0.000348432055749129,0.082
"subscription",79,0.000348432055749129,0.118
"support",56,0.000246989811670269,0.076
"taylor",2,8.82106470250959e-06,0.004
"thread",42,0.000185242358752701,0.082
"trim",18,7.93895823225863e-05,0.026
"tuatha",273,0.00120407533189256,0.098
"urn",46,0.000202884488157721,0.086
"use",134,0.000591011335068143,0.188
"users",121,0.00053367441450183,0.144
"utc",67,0.000295505667534071,0.134
"warning",38,0.000167600229347682,0.074
"windows",165,0.000727737837957041,0.232
"wonderful",18,7.93895823225863e-05,0.032
"www",1406,0.00620120848586424,0.506
"acce",2,8.82106470250959e-06,0.004
"acjjowpowgqrdnswczhexzzdq",1,4.4105323512548e-06,0.002
"ead",1,4.4105323512548e-06,0.002
"efd",2,8.82106470250959e-06,0.004
"forged",70,0.000308737264587836,0.132
"may",227,0.00100119084373484,0.306
"oaa",12,5.29263882150576e-05,0.018
"premio",7,3.08737264587836e-05,0.006
"sabrina",3,1.32315970537644e-05,0.002
"absolutely",54,0.000238168746967759,0.074
"account",86,0.000379305782207913,0.074
"adult",50,0.00022052661756274,0.032
"adults",6,2.64631941075288e-05,0.01
"advertisement",26,0.000114673841132625,0.04
"advertisers",15,6.61579852688219e-05,0.018
"affiliated",11,4.85158558638028e-05,0.022
"age",67,0.000295505667534071,0.054
"aid",33,0.000145547567591408,0.02
"allow",53,0.000233758214616504,0.096
"animals",8,3.52842588100384e-05,0.014
"aol",181,0.000798306355577118,0.146
"asian",4,1.76421294050192e-05,0.004
"become",33,0.000145547567591408,0.044
"bedf",1,4.4105323512548e-06,0.002
"believe",50,0.00022052661756274,0.066
"boyffriend",3,1.32315970537644e-05,0.006
"cams",10,4.4105323512548e-05,0.012
"celebes",8,3.52842588100384e-05,0.008
"celebst",4,1.76421294050192e-05,0.008
"cent",7,3.08737264587836e-05,0.014
"charge",36,0.000158779164645173,0.062
"club",21,9.26211793763507e-05,0.018
"conditions",10,4.4105323512548e-05,0.014
"database",36,0.000158779164645173,0.054
"dollar",21,9.26211793763507e-05,0.022
"don",231,0.00101883297313986,0.22
"easydns",120,0.000529263882150576,0.07
"eea",2,8.82106470250959e-06,0.002
"emails",69,0.000304326732236581,0.094
"entertained",5,2.2052661756274e-05,0.01
"express",99,0.000436642702774225,0.196
"fantasies",4,1.76421294050192e-05,0.008
"faq",6,2.64631941075288e-05,0.012
"farm",18,7.93895823225863e-05,0.016
"feeds",5,2.2052661756274e-05,0.01
"fill",105,0.000463105896881754,0.152
"following",69,0.000304326732236581,0.106
"freaky",9,3.96947911612932e-05,0.008
"friends",33,0.000145547567591408,0.062
"getting",26,0.000114673841132625,0.04
"girls",24,0.000105852776430115,0.03
"give",73,0.0003219688616416,0.09
"groups",22,9.70317117276055e-05,0.038
"hours",90,0.000396947911612932,0.132
"house",24,0.000105852776430115,0.038
"info",150,0.000661579852688219,0.158
"instant",28,0.000123494905835134,0.044
"instructions",69,0.000304326732236581,0.076
"internet",260,0.00114673841132625,0.27
"isl",6,2.64631941075288e-05,0.012
"japanese",4,1.76421294050192e-05,0.006
"jennifer",9,3.96947911612932e-05,0.014
"joe",5,2.2052661756274e-05,0.01
"just",247,0.00108940149075993,0.216
"lace",4,1.76421294050192e-05,0.008
"last",58,0.000255810876372778,0.08
"lesbian",9,3.96947911612932e-05,0.01
"lifetime",57,0.000251400344021523,0.022
"links",15,6.61579852688219e-05,0.026
"live",55,0.000242579279319014,0.046
"local",81,0.000357253120451638,0.122
"long",54,0.000238168746967759,0.076
"manhattan",5,2.2052661756274e-05,0.01
"mega",7,3.08737264587836e-05,0.014
"member",47,0.000207295020508975,0.078
"members",29,0.000127905438186389,0.038
"membership",85,0.000374895249856658,0.03
"miami",5,2.2052661756274e-05,0.01
"million",160,0.000705685176200767,0.152
"month",87,0.000383716314559167,0.098
"morgan",7,3.08737264587836e-05,0.014
"multi",65,0.000286684602831562,0.12
"never",84,0.000370484717505403,0.128
"news",72,0.000317558329290345,0.076
"now",286,0.00126141225245887,0.328
"offering",16,7.05685176200767e-05,0.026
"offers",98,0.00043223217042297,0.138
"one",304,0.00134080183478146,0.316
"operations",3,1.32315970537644e-05,0.006
"opt",83,0.000366074185154148,0.122
"opted",30,0.000132315970537644,0.058
"optout",102,0.000449874299827989,0.07
"outlook",123,0.00054249547920434,0.246
"part",88,0.000388126846910422,0.148
"pass",13,5.73369205663124e-05,0.026
"password",16,7.05685176200767e-05,0.016
"play",32,0.000141137035240153,0.03
"playful",4,1.76421294050192e-05,0.002
"policies",15,6.61579852688219e-05,0.018
"porn",18,7.93895823225863e-05,0.024
"priority",273,0.00120407533189256,0.33
"pviqg",1,4.4105323512548e-06,0.002
"qaa",28,0.000123494905835134,0.034
"qmqp",39,0.000172010761698937,0.062
"read",56,0.000246989811670269,0.058
"receive",292,0.0012878754465664,0.28
"removal",76,0.000335200458695365,0.106
"required",74,0.000326379393992855,0.12
"rly",76,0.000335200458695365,0.09
"rules",6,2.64631941075288e-05,0.01
"schoolgirls",4,1.76421294050192e-05,0.008
"server",188,0.000829180082035902,0.146
"services",119,0.000524853349799321,0.132
"sex",30,0.000132315970537644,0.026
"sexy",9,3.96947911612932e-05,0.018
"shows",17,7.49790499713315e-05,0.022
"sign",22,9.70317117276055e-05,0.038
"signed",20,8.82106470250959e-05,0.03
"simpson",5,2.2052661756274e-05,0.01
"sites",107,0.000471926961584263,0.096
"space",13,5.73369205663124e-05,0.02
"sparc",10,4.4105323512548e-05,0.02
"specials",9,3.96947911612932e-05,0.018
"tampabay",12,5.29263882150576e-05,0.022
"terms",31,0.000136726502888899,0.05
"thousands",78,0.000344021523397874,0.08
"true",47,0.000207295020508975,0.066
"two",53,0.000233758214616504,0.07
"unbelievable",7,3.08737264587836e-05,0.014
"unknown",122,0.000538084946853085,0.18
"user",44,0.000194063423455211,0.064
"vonolmosatkirekpups",1,4.4105323512548e-06,0.002
"websites",21,9.26211793763507e-05,0.032
"won",14,6.17474529175672e-05,0.026
"wsup",4,1.76421294050192e-05,0.002
"xxx",14,6.17474529175672e-05,0.022
"yahoo",338,0.00149075993472412,0.23
"years",110,0.000485158558638028,0.12
"yes",111,0.000489569090989282,0.094
"yet",19,8.38001146738411e-05,0.028
"acjjtbzookejattskxjzmoae",1,4.4105323512548e-06,0.002
"bfea",1,4.4105323512548e-06,0.002
"ccf",15,6.61579852688219e-05,0.02
"cgi",81,0.000357253120451638,0.056
"daily",26,0.000114673841132625,0.028
"deals",12,5.29263882150576e-05,0.014
"events",34,0.000149958099942663,0.038
"freeyankee",3,1.32315970537644e-05,0.002
"gmfyoz",1,4.4105323512548e-06,0.002
"like",153,0.000674811449741984,0.194
"might",19,8.38001146738411e-05,0.034
"nic",2,8.82106470250959e-06,0.004
"ppl",1,4.4105323512548e-06,0.002
"social",282,0.00124377012305385,0.032
"thought",11,4.85158558638028e-05,0.018
"yenene",1,4.4105323512548e-06,0.002
"adddec",1,4.4105323512548e-06,0.002
"ascii",87,0.000383716314559167,0.17
"autoconverted",26,0.000114673841132625,0.052
"average",28,0.000123494905835134,0.02
"bank",63,0.000277863538129052,0.07
"calling",8,3.52842588100384e-05,0.01
"cash",120,0.000529263882150576,0.104
"conceived",2,8.82106470250959e-06,0.004
"dst",5,2.2052661756274e-05,0.01
"either",24,0.000105852776430115,0.042
"ever",63,0.000277863538129052,0.076
"experts",10,4.4105323512548e-05,0.02
"firemail",12,5.29263882150576e-05,0.006
"first",96,0.00042341110572046,0.098
"flow",4,1.76421294050192e-05,0.008
"founders",2,8.82106470250959e-06,0.004
"freesource",4,1.76421294050192e-05,0.004
"gifting",2,8.82106470250959e-06,0.004
"grab",4,1.76421294050192e-05,0.008
"hear",11,4.85158558638028e-05,0.018
"hold",6,2.64631941075288e-05,0.012
"hope",19,8.38001146738411e-05,0.034
"huge",37,0.000163189696996427,0.054
"invitation",4,1.76421294050192e-05,0.008
"knology",2,8.82106470250959e-06,0.004
"leverage",4,1.76421294050192e-05,0.008
"lifeline",2,8.82106470250959e-06,0.004
"mailbox",9,3.96947911612932e-05,0.01
"major",22,9.70317117276055e-05,0.036
"miss",17,7.49790499713315e-05,0.026
"onto",2,8.82106470250959e-06,0.004
"people",276,0.00121730692894632,0.142
"players",7,3.08737264587836e-05,0.01
"powerhouse",2,8.82106470250959e-06,0.004
"program",120,0.000529263882150576,0.094
"question",16,7.05685176200767e-05,0.024
"ride",4,1.76421294050192e-05,0.008
"sake",3,1.32315970537644e-05,0.006
"spray",11,4.85158558638028e-05,0.006
"testimonials",9,3.96947911612932e-05,0.014
"thecashsystem",10,4.4105323512548e-05,0.004
"tight",4,1.76421294050192e-05,0.008
"tossing",2,8.82106470250959e-06,0.004
"want",211,0.000930622326114762,0.21
"way",74,0.000326379393992855,0.094
"wealthy",12,5.29263882150576e-05,0.012
"abec",2,8.82106470250959e-06,0.004
"basetel",12,5.29263882150576e-05,0.012
"bjjwxv",1,4.4105323512548e-06,0.002
"bluemail",25,0.00011026330878137,0.01
"career",21,9.26211793763507e-05,0.034
"cdaae",1,4.4105323512548e-06,0.002
"company",208,0.000917390729060998,0.222
"contact",105,0.000463105896881754,0.158
"dodyfrhm",1,4.4105323512548e-06,0.002
"employed",11,4.85158558638028e-05,0.022
"employement",6,2.64631941075288e-05,0.012
"energetic",10,4.4105323512548e-05,0.02
"excellent",23,0.00010144224407886,0.042
"experience",27,0.000119084373483879,0.05
"fbebeef",1,4.4105323512548e-06,0.002
"form",294,0.00129669651126891,0.216
"fort",9,3.96947911612932e-05,0.012
"fortune",34,0.000149958099942663,0.048
"hiring",7,3.08737264587836e-05,0.014
"home",225,0.000992369779032329,0.174
"hotmail",280,0.00123494905835134,0.144
"importance",83,0.000366074185154148,0.166
"income",94,0.000414590041017951,0.086
"individuals",24,0.000105852776430115,0.042
"looking",97,0.000427821638071715,0.066
"mike",4,1.76421294050192e-05,0.008
"motivated",24,0.000105852776430115,0.036
"msmail",109,0.000480748026286773,0.218
"nombres",4,1.76421294050192e-05,0.008
"normal",300,0.00132315970537644,0.23
"old",72,0.000317558329290345,0.078
"opportunities",30,0.000132315970537644,0.048
"opportunity",68,0.000299916199885326,0.104
"rate",64,0.000282274070480307,0.082
"reply",364,0.00160543377585675,0.596
"reps",16,7.05685176200767e-05,0.022
"saa",23,0.00010144224407886,0.028
"self",23,0.00010144224407886,0.046
"smfcfcsll",1,4.4105323512548e-06,0.002
"specialist",12,5.29263882150576e-05,0.024
"train",11,4.85158558638028e-05,0.022
"tremendous",13,5.73369205663124e-05,0.024
"ttd",4,1.76421294050192e-05,0.008
"vast",15,6.61579852688219e-05,0.026
"volw",1,4.4105323512548e-06,0.002
"wanted",19,8.38001146738411e-05,0.036
"wealthnow",6,2.64631941075288e-05,0.012
"work",128,0.000564548140960614,0.134
"year",177,0.000780664226172099,0.116
"action",72,0.000317558329290345,0.12
"admanmail",147,0.000648348255634455,0.03
"alabama",6,2.64631941075288e-05,0.008
"alaska",7,3.08737264587836e-05,0.01
"alink",11,4.85158558638028e-05,0.022
"also",147,0.000648348255634455,0.17
"alt",329,0.00145106514356283,0.116
"amount",40,0.000176421294050192,0.052
"arizona",5,2.2052661756274e-05,0.006
"arkansas",5,2.2052661756274e-05,0.006
"asp",252,0.00111145415251621,0.178
"banner",10,4.4105323512548e-05,0.01
"bannerads",5,2.2052661756274e-05,0.002
"bgcolor",801,0.00353283641335509,0.334
"bin",57,0.000251400344021523,0.05
"birth",3,1.32315970537644e-05,0.006
"blank",85,0.000374895249856658,0.046
"california",14,6.17474529175672e-05,0.024
"carolina",11,4.85158558638028e-05,0.008
"cefb",1,4.4105323512548e-06,0.002
"change",67,0.000295505667534071,0.078
"colorado",9,3.96947911612932e-05,0.014
"columbia",8,3.52842588100384e-05,0.01
"connecticut",5,2.2052661756274e-05,0.006
"copyright",21,9.26211793763507e-05,0.038
"correspondence",18,7.93895823225863e-05,0.036
"dakota",10,4.4105323512548e-05,0.006
"delaware",5,2.2052661756274e-05,0.006
"directed",15,6.61579852688219e-05,0.03
"dist",2,8.82106470250959e-06,0.004
"div",576,0.00254046663432276,0.152
"easy",98,0.00043223217042297,0.13
"ext",100,0.00044105323512548,0.054
"female",14,6.17474529175672e-05,0.012
"ffcc",36,0.000158779164645173,0.026
"ffccff",4,1.76421294050192e-05,0.006
"ffffff",663,0.00292418294888193,0.258
"florida",9,3.96947911612932e-05,0.01
"formsbutton",1,4.4105323512548e-06,0.002
"formscombobox",3,1.32315970537644e-05,0.002
"formsradiobutton",4,1.76421294050192e-05,0.002
"freequoteform",1,4.4105323512548e-06,0.002
"freequotes",1,4.4105323512548e-06,0.002
"future",108,0.000476337493935518,0.166
"georgia",19,8.38001146738411e-05,0.018
"gif",701,0.00309178317822961,0.178
"great",72,0.000317558329290345,0.122
"greatoffers",15,6.61579852688219e-05,0.03
"hampshire",5,2.2052661756274e-05,0.006
"hawaii",12,5.29263882150576e-05,0.018
"headline",4,1.76421294050192e-05,0.008
"hidden",180,0.000793895823225863,0.1
"highly",6,2.64631941075288e-05,0.01
"hptbcolor",1,4.4105323512548e-06,0.002
"hspace",32,0.000141137035240153,0.034
"idaho",7,3.08737264587836e-05,0.008
"illinois",9,3.96947911612932e-05,0.014
"images",698,0.00307855158117585,0.144
"img",982,0.00433114276893221,0.236
"inc",27,0.000119084373483879,0.036
"include",47,0.000207295020508975,0.088
"indiana",5,2.2052661756274e-05,0.006
"input",516,0.00227583469324748,0.1
"instantly",11,4.85158558638028e-05,0.02
"iowa",5,2.2052661756274e-05,0.006
"island",11,4.85158558638028e-05,0.008
"jersey",18,7.93895823225863e-05,0.02
"jpg",272,0.0011996647995413,0.154
"kansas",7,3.08737264587836e-05,0.008
"kentucky",5,2.2052661756274e-05,0.006
"key",106,0.000467516429233008,0.046
"leftmargin",21,9.26211793763507e-05,0.042
"line",81,0.000357253120451638,0.136
"logo",31,0.000136726502888899,0.044
"louisiana",6,2.64631941075288e-05,0.008
"lsmtp",17,7.49790499713315e-05,0.034
"mailing",135,0.000595421867419398,0.172
"maine",5,2.2052661756274e-05,0.006
"makes",24,0.000105852776430115,0.042
"male",30,0.000132315970537644,0.022
"maryland",5,2.2052661756274e-05,0.006
"massachusetts",5,2.2052661756274e-05,0.006
"method",96,0.00042341110572046,0.128
"mexico",9,3.96947911612932e-05,0.01
"michigan",5,2.2052661756274e-05,0.006
"middle",113,0.000498390155691792,0.104
"minnesota",5,2.2052661756274e-05,0.006
"mississippi",5,2.2052661756274e-05,0.006
"missouri",10,4.4105323512548e-05,0.008
"montana",5,2.2052661756274e-05,0.006
"months",65,0.000286684602831562,0.052
"must",85,0.000374895249856658,0.124
"nbsp",1388,0.00612181890354166,0.276
"nebraska",5,2.2052661756274e-05,0.006
"need",168,0.000740969435010806,0.186
"netnoteinc",126,0.000555727076258104,0.042
"nevada",8,3.52842588100384e-05,0.01
"nolist",30,0.000132315970537644,0.03
"north",20,8.82106470250959e-05,0.016
"nothing",34,0.000149958099942663,0.056
"nowrap",5,2.2052661756274e-05,0.004
"ohio",6,2.64631941075288e-05,0.008
"oklahoma",6,2.64631941075288e-05,0.008
"option",1097,0.00483835398932651,0.022
"oregon",5,2.2052661756274e-05,0.006
"owner",92,0.000405768976315441,0.082
"pennsylvania",5,2.2052661756274e-05,0.006
"percent",4,1.76421294050192e-05,0.004
"plan",58,0.000255810876372778,0.064
"products",87,0.000383716314559167,0.114
"protect",59,0.000260221408724033,0.066
"protected",4,1.76421294050192e-05,0.008
"quotes",34,0.000149958099942663,0.03
"radio",12,5.29263882150576e-05,0.008
"rated",16,7.05685176200767e-05,0.02
"receiving",61,0.000269042473426543,0.104
"reliaquote",9,3.96947911612932e-05,0.002
"reserved",11,4.85158558638028e-05,0.02
"residence",1,4.4105323512548e-06,0.002
"resp",1,4.4105323512548e-06,0.002
"rhode",5,2.2052661756274e-05,0.006
"rights",20,8.82106470250959e-05,0.038
"select",66,0.000291095135182817,0.034
"selected",29,0.000127905438186389,0.028
"sendgreatoffers",27,0.000119084373483879,0.03
"sgo",39,0.000172010761698937,0.03
"sgodaily",30,0.000132315970537644,0.03
"sourceid",1,4.4105323512548e-06,0.002
"south",34,0.000149958099942663,0.024
"src",984,0.00433996383363472,0.24
"submit",101,0.000445463767476734,0.102
"submitbutton",1,4.4105323512548e-06,0.002
"subscribed",25,0.00011026330878137,0.048
"sufficient",4,1.76421294050192e-05,0.006
"tahoma",374,0.00164953909936929,0.066
"target",99,0.000436642702774225,0.062
"tennessee",9,3.96947911612932e-05,0.01
"termlife",5,2.2052661756274e-05,0.01
"texas",5,2.2052661756274e-05,0.006
"theadmanager",91,0.000401358443964186,0.028
"tipsmtp",60,0.000264631941075288,0.03
"tiputil",27,0.000119084373483879,0.03
"title",293,0.00129228597891766,0.286
"tobacco",26,0.000114673841132625,0.022
"today",163,0.000718916773254532,0.2
"top",577,0.00254487716667402,0.238
"topmargin",23,0.00010144224407886,0.044
"unsubscribe",188,0.000829180082035902,0.214
"unsubscribed",32,0.000141137035240153,0.052
"used",37,0.000163189696996427,0.058
"utah",5,2.2052661756274e-05,0.006
"value",1092,0.00481630132757024,0.172
